Comparing
CDEF=,OmniMech,Primitive,EliteMech,PrototypeMech,ProtoMech,SLDFMech,HeroMech,ClanMech,SocietyMech,
MDEF=,,unit_primitive,unit_elite,unit_prototype,unit_protomech,unit_sldf,unit_hero,,,unit_legendary
===================,headerlines,4
|CONFLICT| ,CDef // MDef, || ,Missing Tag, |Missing in| ,file
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-CM.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-CM.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-CM.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D(C).json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D(C).json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D(C).json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D(C).json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D(C).json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D(C).json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-DC.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-DC.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-DC.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-DC.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-DC.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-DC.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-HT.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-HT.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-HT.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-HT.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-D-HT.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-K-DC.json
